Post_URL,Comments,Retweets,Likes,Views,Bookmarks,Account Followers,Flagged,Video,Username,Display Name,Account Name,Tweet Text,Replies,Timestamp,Has Video,Has Image,Has Media,Followers,Account Created,Is Retweet,Language,Scraped At,Status
https://x.com/jacksonhinklle/status/1714660808821538841,,17313,71162,4300000,678,,,,jacksonhinklle,Jackson Hinkle ,Jackson Hinkle ," Turkish President Erdogan has THREATENED to intervene in the Israeli war on Gaza:

“I call on all humanity to take action to stop this unprecedented brutality in the Gaza Strip. If not, we will do it.”",4432,2023-10-18T15:12:48.000Z,0,False,False,3600000,July 2019,False,,2025-11-19T13:00:34.842940,success
https://x.com/jacksonhinklle/status/1722632953745002776,,20347,38871,1700000,1072,,,,jacksonhinklle,Jackson Hinkle ,Jackson Hinkle ," ISRAEL ADMITS they fired on their OWN CIVILIANS with APACHE ATTACK HELICOPTERS!

“There was huge difficulty in distinguishing terrorists & civilians. The rate of fire was tremendous & only later did the pilots begin carefully selecting targets.”",1793,2023-11-09T15:11:15.000Z,1,False,True,3600000,July 2019,False,,2025-11-19T13:00:52.565774,success
https://x.com/ShadowofEzra/status/1722849062557294954,,520,788,69200,61,,,,ShadowofEzra,Shadow of Ezra,Shadow of Ezra,Israel has admitted apache helicopters fired on their own civilians running from the Supernova music festival.,61,2023-11-10T05:30:00.000Z,1,False,True,829200,December 2022,False,,2025-11-19T13:01:06.761396,success
https://x.com/Partisangirl/status/1722527493780021654,,91881,121556,30500000,24178,,,,Partisangirl,Syrian Girl,Syrian Girl,"BREAKING:  Israel admits apache helicopters fired on their own civilians running from the Supernova music festival. 

“The pilots realised that there was tremendous difficulty in distinguishing within the occupied outposts and settlements who was a terrorist and who was a soldier or civilian… The rate of fire against the thousands of terrorists was tremendous at first, and only at a certain point did the pilots begin to slow down the attacks and carefully select the targets.”
middleeastmonitor.com/20231030-repor
…
archive.is/IIOLg",5830,2023-11-09T08:12:12.000Z,1,False,True,526900,June 2011,False,,2025-11-19T13:01:21.322662,success
https://x.com/swilkinsonbc/status/1722581845638885624,,2265,2852,166100,160,,,,swilkinsonbc,Sarah Wilkinson,Sarah Wilkinson,"The Hannibal Directive? Israeli Apache helicopters bomb their own citizens during the rave festival on 7th October | via 
@rifain_nouvelle",173,2023-11-09T11:48:10.000Z,1,False,True,361900,November 2015,False,,2025-11-19T13:01:36.709045,success
https://x.com/dom_lucre/status/1716548851706823133,,1005,3154,799600,95,,,,dom_lucre,Dom Lucre | Breaker of Narratives,Dom Lucre | Breaker of Narratives,BREAKING NEWS: U.S. troops occupying Syria’s Al-Omar oil field were allegedly just attacked.,420,2023-10-23T20:15:12.000Z,0,False,False,1600000,March 2015,False,,2025-11-19T13:01:51.575815,success
https://x.com/dom_lucre/status/1711962441259594042,,5387,11631,2600000,1050,,,,dom_lucre,Dom Lucre | Breaker of Narratives,Dom Lucre | Breaker of Narratives,DEVELOPING: CNN got caught faking an attack from Hamas in Israel.,1380,2023-10-11T04:30:27.000Z,1,False,True,1600000,March 2015,False,,2025-11-19T13:02:06.527466,success
https://x.com/ShaykhSulaiman/status/1711958497141612801,,15115,31069,4300000,2276,,,,ShaykhSulaiman,Sulaiman Ahmed,Sulaiman Ahmed,CNN EXPOSED FOR FAKING AN ATTACK IN ISRAEL,1962,2023-10-11T04:14:47.000Z,1,False,True,757800,March 2013,False,,2025-11-19T13:02:20.962618,success
https://x.com/DrLoupis/status/1712906693384736777,,5263,11594,1100000,346,,,,DrLoupis,Dr. Anastasia Maria Loupis,Dr. Anastasia Maria Loupis,"CNN FAKING an Hamas attack 
x.com/hdwikat/status
…",1125,2023-10-13T19:02:34.000Z,0,False,False,1300000,October 2021,False,,2025-11-19T13:02:35.887420,success
https://x.com/dom_lucre/status/1713641810667442388,,1237,5616,438300,56,,,,dom_lucre,Dom Lucre | Breaker of Narratives,Dom Lucre | Breaker of Narratives,There is a massive rally in Poland in support of Israel.,628,2023-10-15T19:43:40.000Z,1,False,True,1600000,March 2015,False,,2025-11-19T13:02:52.437931,success
https://x.com/ShaykhSulaiman/status/1725446177813110837,,1298,2540,45100,71,,,,ShaykhSulaiman,Sulaiman Ahmed,Sulaiman Ahmed,CNN REPORTER V 16 YEAR OLD PALESTINIAN CHILD,87,2023-11-17T09:30:00.000Z,1,False,True,757800,March 2013,False,,2025-11-19T13:03:07.788338,success
https://x.com/ShaykhSulaiman/status/1714919311729414308,,923,2955,115500,36,,,,ShaykhSulaiman,Sulaiman Ahmed,Sulaiman Ahmed,"TURKISH PRESIDENT ERDOGAN HAS THREATENED TO INTERVENE TO STOP THE GENOCIDE OF PALESTINIAN

“I call on all humanity to take action to stop this unprecedented brutality in the Gaza Strip. If not, we will do it.”",375,2023-10-19T08:20:00.000Z,0,False,False,757800,March 2013,False,,2025-11-19T13:03:21.745198,success
https://x.com/DrLoupis/status/1714920741328580852,,26947,69941,9000000,1256,,,,DrLoupis,Dr. Anastasia Maria Loupis,Dr. Anastasia Maria Loupis,"TURKISH PRESIDENT ERDOGAN HAS THREATENED TO INTERVENE TO STOP THE GENOCIDE OF PALESTINIAN

“I call on all humanity to take action to stop this unprecedented brutality in the Gaza Strip. If not, we will do it.”

Here is a picture of Erdogan showing how Israel has grabbed the Palistinians’ land since 1948. All there is left is the open air prisons of Gaza and West Bank which is currently being bombed to shreds - ETHNIC CLEANSING of the Palestinian people. 

H/t 
@ShaykhSulaiman",4688,2023-10-19T08:25:41.000Z,0,False,False,1300000,October 2021,False,,2025-11-19T13:03:36.501155,success
https://x.com/YosephHaddad/status/1718859336716353701,,,,,,,,,YosephHaddad,יוסף חדאד - Yoseph Haddad,יוסף חדאד - Yoseph Haddad,,,,0,False,False,315300,September 2018,False,,2025-11-19T13:03:53.188774,success
https://x.com/YosephHaddad/status/1723794158379249787,,,,,,,,,YosephHaddad,יוסף חדאד - Yoseph Haddad,יוסף חדאד - Yoseph Haddad,,,,0,False,False,315300,September 2018,False,,2025-11-19T13:04:22.787467,success
https://x.com/ShadowofEzra/status/1711803620503539940,,1189,2809,156600,101,,,,ShadowofEzra,Shadow of Ezra,Shadow of Ezra,"John Kirby starts crying live on CNN.

Need more proof it was a false flag?",484,2023-10-10T17:59:21.000Z,1,False,True,829200,December 2022,False,,2025-11-19T13:04:52.543264,success
